year,question,option1,option2,option3,option4,difficulty
2015,"Which one of the following matches is correct?","Phytophthora Aseptate mycelium","Alternaria Sexual reproduction absent Deuteromycets","Mucor Reproduction by Conjugation Ascomycetes","Agaricus Parasitic fungus Basidiomycetes",easy
2015,"Read the following five statements (A to E) and select the option with all correct statements:","Mosses and Lichens are the first organisms to colonise a bare rock.","seleginella is a homosporous pteridophyte.","Main plant body in bryophytes is gametophytic, whereas in pteridopytes it is sporophytic.","In gymnosperms, male and female gametophytes are present within sporangia located on sporophyte.",moderate
2015,"In which of the following gametophyte is not independent free living?","Funaria","Marchantia","Pteris","Pinus",easy
2015,"Which one of the following statements in wrong?","Algin and carrageen are products of algae","Agar-agar is obtained from Gelidium and Gracilaria","Chlorella and Spirulina are used as space food","Mannitol is stored food in Rhodophyceae",easy
2015,"The guts of cow and buffalo possess:","Fucus spp.","Chlorella spp.","Methanogens","Cyanobacteria",easy
2015,"Male gametes are flagellated in:","Polysiphonia","Anabaena","Ectocarpus","Spirogyra",easy
2015,"Vascular bundles in monocotyledons are considered closed because:","A bundle sheath surrounds each bundle","Cambium is absent","There are no vessels with perforations","Xylem is surrounded all around by phloem",easy
2015,"is the flora formula of:","Allium","Sesbania","Petunia","Brassica",moderate
2015,"A major characteristic of the monocot root is the presence of:","Open vascular bundles","Scattered vascular bundles","Vasculature without cambium","Cambium sandwiched between phloem and xylem along the radius",easy
2015,"Keel is the characteristic feature of flower of:","Tulip","Indigofera","Aloe","Tomato",easy
2015,"Perigynous flowers are found in:","Guava","Cucumber","China rose","Rose",easy
2015,"Leaves become modified into spines in:","Opuntia","Pea","Onion","Silk Cotton",easy
2015,"The structures that are formed by stacking of organized flattened membranous sacs in the chloroplasts are:","Cristae","Grana","Stroma lamellae","Stroma",easy
2015,"The chromosomes in which centromere is situated close to one end are:","Metacentric","Acrocentric","Telocentric","Sub-metacentric",moderate
2015,"Select the correct matching in the following pairs:","Smooth ER – Oxidation of phospholipids","Smooth ER – Synthesis of lipids","Rough ER – Synthesis of glycogen","Rough ER – Oxydation of fatty acids",easy
2015,"True nucleus is absent in:","Anabaena","Mucor","Vaucheria","Vovox",easy
2015,"Which one of the following is not an inclusion body found in prokaryotes?","Phosphate granule","Cyanophycean granule","Glycogen granule","Polysome",easy
2015,"Transpiration and root pressure cause water to rise in plants by:","pulling it upward","pulling and pushing it, respectively","pushing it upward","pushing and pulling it, respectively",easy
2015,"Minerals known to be required in large amounts for plant growth include:","phosphorus, potassium, sulphur, calcium","calcium, magnesium, manganese, copper","potassium, phosphorus, selenium, boron","magnesium, sulphur, iron, zinc",easy
2015,"What causes a green plant exposed to the light on only one side, to bend toward the source of light as it grows?","Green plants need light to perform photosynthesis.","Green plans seek light because they are phototropic.","Light stimulates plant cells on the lighted side to grow faster.","Auxin accumulates on the shaded side, stimulating greater cell elongation there.",moderate
2015,"In a ring girdled plant:","The shoot dies first","The root dies first","The shoot and root die together","Neither root nor shoot will die",moderate
2015,"Typical growth curve in plants is:","Sigmoid","Linear","Stair-steps shaped","Parabolic",easy
2015,"Which one gives the most valid and recent explanation for stomatal movements?","Transpiration","Potassium influx and efflux","Strarch hydrolysis","Guard cell photosynthesis",easy
2015,"The hilum is a scar on the:","Seed, where funicle was attached","Fruit, where it was attached to pedicel","Fruit, where style was present","Seed, where micropyle was present",easy
2015,"Which one of the following may require pollinators, but is genetically similar to autogamy?","Geitonogamy","Xenogamy","Apogamy","Cleistogamy",easy
2015,"Which one of the following statements is not true?","Pollen grains are rich in nutrients, and they are used in the forms of tablets and syrups","Pollen grains of some plants cause severe allergies and bronchial afflictions in some people","The flowers pollinated by flies and bats secrete foul odour to attract them","Honey is made by bees by digesting pollen collected from flowers",moderate
2015,"Transmission tissue is characteristic feature of:","Hollow style","Solid style","Dry stigma","Wet stigma",easy
2015,"In ginger vegetative propagation occurs through:","Rhizome","Offsets","Bulbils","Runners",easy
2015,"Which of the following are the important floral rewards to the animal pollinators?","Colour and large size of flower","Nectar and pollen grains","Floral fragrance and calcium crystals","Protein pellicle and stigmatic exudates",easy
2015,"How many pairs of contrasting characters in pea plants were studied by Mendel in his experiments?","Five","Six","Eight","Seven",easy
2015,"Which is the most common mechanism of genetic variation in the population of a sexuallyreproducing organism?","Transduction","Chromosomal aberrations","Genetic drift","Recombination",moderate
2015,"A technique of micropropagation is:","Somatic hybridization","Somatic embryogenesis","Protoplast fusion","Embryo rescue",moderate
2015,"The movement of a gene from one linkage group to another is called:","Inversion","Duplication","Translocation","Crossing over",easy
2015,"Multiple alleles are present:","On different chromosomes","At different loci on the same chromosome","At the same locus of the chromosome","On non-sister chromatids",easy
2015,"Which body of the Government of India regulates GM research and safety of introducing GM organisms for public services?","Bio – safety committee","Indian Council of Agricultural Research","Genetic Engineering Approval Committee","Research Committee on Genetic Manipulation",moderate
2015,"In Bt cotton, the Bt toxin present in plant tissue as pro – toxin is converted into active toxin due to:","alkaline pH of the insect gut","acidic pH of the insect gut","action of gut micro – organisms","presence of conversion factors in insect gut",easy
2015,"The crops engineered for glyphosate are resistant/tolerant to:","Fungi","Bacteria","Insects","Herbicides",easy
2015,"DNA is not present in:","Chloroplast","Ribosomes","Nucleus","Mitochondria",easy
2015,"Which of the following enhances or induces fusion of protoplasts?","Sodium chloride and potassium chloride","Polyethylene glycol and sodium nitrate","IAA and kinetin","IAA and gibberellins",moderate
2015,"The UN Conference of Parties on climate change in the year 2011 was held in:","Poland","South Africa","Peru","Qatar",easy
2015,"Vertical distribution of different species occupying different levels in a biotic community is known as:","Divergence","Stratification","Zonation","Pyramid",easy
2015,"In which of the following both pairs have correct combination?","In situ conservation : National Park Ex situ conservation : Botanical Garden","In situ conservation : Cryopreservation Ex situ conservation : Wildlife Sanctuary","In situ conservation : Seed Bank Ex situ conservation : National park","In situ conservation : Tissue culture Ex situ conservation : Sacred groves",easy
2015,"Secondary Succession takes places on/in:","Bare rock","Degraded forest","Newly created pond","Newly cooled lava",easy
2015,"The mass of living material at a trophic level at a particular time is called:","Gross primary productivity","Standing state","Net primary productivity","Standing crop",easy
2015,"In an ecosystem the rate of production of organic matter during photosynthesis is termed as:","Net primary productivity","Gross primary productivity","Secondary productivity","Net productivity",easy
2015,"Which of the following characteristics is mainly responsible for diversification of insects on land?","Segmentation","Bilateral symmetry","Exoskeleton","Eyes",moderate
2015,"Which of the following endroparasities of humans does show viviparity?","Ancylostoma duodenale","Enterobius vermiscularis","Tichinella spiralis","Ascaris lumbriecoides",tough
2015,"Which of the following represents the correct combination without any exception?","Mammary gland ; hair on body; pinnae; two pairs of limbs Mammalia","Mouth ventral; gills without Operculum; skin with placoid Scales; persistent notochord Chondrichthyes","Sucking and circular mouth; jaws absent, integument without scales; paired appengages Cyclostomata","Body covered with feathers; skin moist and glandular; force-limbs form wings; lungs with aire sacs Aves",easy
2015,"Which of the following animals is not viviparous?","Flying fox (Bat)","Elephant","Platypus","Whale",easy
2015,"Erythropoiesis starts in:","Kidney","Liver","Spleen","Red bone marrow",easy
2015,"The terga, sterna and pleura of cockroach body are joined by:","Cementing glue","Muscular tissue","Arthrodial membrane","Cartilage",easy
2015,"Nuclear envelope is derivative of:","Smooth endoplasmic reticulum","Membrane of Golgi complex","Microtubules","Rough endoplasmic reticulum",easy
2015,"Cytochromes are found in","Matrix of mitochondria","Outer wall of mitochondria","Cristae of mitochondria","Lysosomes",easy
2015,"Which one of the following statements is incorrect?","A competitive inhibitor reacts reversibly with the enzyme to form an enzyme-inhibitor complex.","In competitive inhibition, the inhibitor molecule is not chemically changed by the enzyme.","The competitive inhibitor does not affect the rate of breakdown of the enzyme-substrate complex.","The presence of the competitive inhibitor decreases the Km of the enzyme for the substrate.",tough
2015,"A somatic cell that has just completed the S phase of its cell cycle, as compared to gamete of the same species, has:","twice the number of chromosomes and twice the amount of DNA","same number of chromosomes but twice the amount of DNA","twice the number of chromosomes and four times the amount of DNA","Four times the number of chromosomes and twice the amount of DNA",moderate
2015,"Which of the following statements is not correct?","Brunner’s glands are present in the submucosa of stomach and secrete pepsinogen","Goblet cells are present in the mucosa of intestine and secrete mucus","Oxyntic cells are present in the mucosa of stomach and secrete HCI","Acini are present in the pancreas and secrete carboxypeptidase",easy
2015,"Gastric juice of infants contains","maltase, pepsinogen, rennin","nuclease, pepsinogen, lipase","pepsinogen, lipase, rennin","amylase, rennin, pepsinogen",easy
2015,"When you hold your breath, which of the following gas changes in blood would first lead to the urge to breathe?","falling O2 concentration","rising CO2 concentration","falling CO2 concentration","rising CO2 and falling O2 concentration",moderate
2015,"Blood pressure in the mammalian aorta is maximum during","Systole of the left atrium","Diastole of the right ventricle","Systole of the left ventricle","Diastole of the right atrium",easy
2015,"Which one of the following is correct?","Plasma = Blood – Lymphocytes","Serum = Blood + Fibrinogen","Lymph = Plasma + RBC + WBC","Blood = Plasma + RBC + WBC + Platelets",easy
2015,"Removal of proximal convoluted tubule from the nephron will result in","More diluted urine","More concentrated urine","No change in quality and quantity of urine","No urine formation",moderate
2015,"Sliding filament theory can be best explained as","When myofilaments slide pass each other Actin filaments shorten while Myosin filament do not shorten","Actin and Myosin filaments shorten and slide pass each other","Actin and Myosin filaments do not shorten but rather slide pass each other","When myofilaments slide pass each other, Myosin filaments shorten while Actin filaments do not shorten",easy
2015,"Glenoid cavity articules","clavicle with acromion","scapula with acromion","clavicle with scapula","humerus with scapula",easy
2015,"Which of the following regions of the brain is incorrectly paired with its function?","Medulla oblongata – homeostatic control","Cerebullum –language comprehension","Corpus callosum – communication between the left and right cerebral cortices","Cerebrum –calculation and contemplation",tough
2015,"A gymnast is able to balance his body upside down even in the total darkness because of","Cochlea","Vestibular apparatus","Tectorial membrane","Organ of corti",easy
2015,"A chemical signal that has both endocrine and neural roles is","Melatonin","Calcitonin","Epinephrine","Cortisol",easy
2015,"Which of the following does not favour the formation of large quantities of dilute urine?","Alcohol","Caffeine","Renin","Atrial-natriuretic factor",moderate
2015,"Capacitation refers to changes in the","sperm before fertilization","ovum before fertilization","ovum after fertilization","sperm after fertilization",easy
2015,"Which of these is not an important component of initiation of parturition in humans?","Increase in estrogen and progesterone ratio","Synthesis of prostaglandins","Release of oxytocin","Release of prolactin",moderate
2015,"Which of the following viruses is not transferred through semen of an infected male?","Hepatitis B virus","Human immunodeficiency virus","Chikungunya virus","Ebola virus",moderate
2015,"Which of the following cells during gametogenesis is normally diploid?","Primary polar body","Spermatid","Spermatogonia","Secondary polar body",easy
2015,"Hysterectomy is surgical removal of","Uterus","Prostate gland","Vas-deference","Mammary glands",easy
2015,"Which of the following is not a sexually transmitted disease?","Syphilis","Acquired Immuno Deficiency Syndrome","Trichomoniasis","Encephalitis",easy
2015,"An abnormal human baby with ‘XXX’ sex chromosomes was born due to","formation of abnormal sperms in the father","formation of abnormal ova in the mother","fusion of two ova and one sperm","fusion of two sperms and one ovum",tough
2015,"Alleles are","different phenotype","true breeding homozygotes","different molecular forms of a gene","heterozygotes",easy
2015,"A man with blood group ‘A’ marries a woman with blood group ‘B’. What are all the possible blood groups of their offsprings?","A and B only","A, B and AB only","A, B, AB and O","O only",moderate
2015,"Gene regulation governing lactose operon of E.coli that involves the lac I gene Product is","Positive and inducible because it can be induced by lactose","negative and inducible because repressor protein prevents transcription","negative and repressible because repressor protein prevents transcription","Feedback inhibitiob because excess of β-galactosidase can switch off transcription",tough
2015,"In sea urchin DNA, which is double stranded, 17% of the bases were shown to be cystosine. The percentage of the other three bases expected to be present in this DNA are","G34%, A 24.5%, T 24.5%","G 17%, A16.5%, T 32.5%","G 17%, A33%, T33%","G8.5%, A50%, T24.5%",moderate
2015,"Which of the following had the smallest brain capacity?","Homo erectus","Homo sapiens","Homo neanderthalensis","Homo habilis",easy
2015,"A population will not exist in Hardy-Weinberg equilibrium if","individuals mate selectively","there are no mutations","there is no migration","the population is large",easy
