 Q.No	Difficulty
91	Moderate
92	Moderate
93	Easy
94	Easy
95	Easy
96	Easy
97	Easy
98	Moderate
99	Easy
100	Easy
101	Easy
102	Easy
103	Easy
104	Moderate
105	Easy
106	Easy
107	Easy
108	Easy
109	Easy
110	Moderate
111	Moderate
112	Easy
113	Easy
114	Easy
115	Easy
116	Moderate
117	Easy
118	Easy
119	Easy
120	Easy
121	Moderate
122	Moderate
123	Easy
124	Easy
125	Moderate
126	Easy
127	Easy
128	Easy
129	Moderate
130	Easy
131	Easy
132	Easy
133	Easy
134	Easy
135	Easy
136	Moderate
137	Tough
138	Easy
139	Easy
140	Easy
141	Easy
142	Easy
143	Easy
144	Tough
145	Tough
146	Moderate
147	Easy
148	Easy
149	Moderate
150	Easy
151	Easy
152	Moderate
153	Easy
154	Easy
155	Tough
156	Easy
157	Easy
158	Moderate
159	Easy
160	Moderate
161	Moderate
162	Easy
163	Easy
164	Easy
165	Tough
166	Easy
167	Moderate-
168	Tough
169	Moderate
170	Easy
171	Easy
172	Moderate
173	Easy
174	Moderate
175	Easy
176	Easy
177	Moderate
178	Easy
179	Easy
180	Easy
